Date,Saturday Night Live
2022-11-15,5996
2022-11-16,5226
2022-11-17,4771
2022-11-18,4550
2022-11-19,4854
2022-11-20,7729
2022-11-21,4712
2022-11-22,3986
2022-11-23,3804
2022-11-24,4698
2022-11-25,3920
2022-11-26,4361
2022-11-27,5929
2022-11-28,4046
2022-11-29,3932
2022-11-30,3933
2022-12-01,3436
2022-12-02,3464
2022-12-03,3798
2022-12-04,8600
2022-12-05,5682
2022-12-06,4630
2022-12-07,4281
2022-12-08,4376
2022-12-09,3839
2022-12-10,4380
2022-12-11,11668
2022-12-12,6250
2022-12-13,4778
2022-12-14,4095
2022-12-15,6606
2022-12-16,4383
2022-12-17,4752
2022-12-18,15724
2022-12-19,9898
2022-12-20,6274
2022-12-21,5743
2022-12-22,5061
2022-12-23,6590
2022-12-24,5064
2022-12-25,4898
2022-12-26,4907
2022-12-27,4817
2022-12-28,4651
2022-12-29,4218
2022-12-30,4150
2022-12-31,4600
2023-01-01,6006
2023-01-02,5385
2023-01-03,4615
2023-01-04,4542
2023-01-05,4422
2023-01-06,4601
2023-01-07,4803
2023-01-08,7078
2023-01-09,4519
2023-01-10,3926
2023-01-11,4768
2023-01-12,4075
2023-01-13,4139
2023-01-14,4629
2023-01-15,6137
2023-01-16,4667
2023-01-17,4343
2023-01-18,4220
2023-01-19,4267
2023-01-20,4098
2023-01-21,4654
2023-01-22,11258
2023-01-23,7059
2023-01-24,5376
2023-01-25,4940
2023-01-26,5157
2023-01-27,4932
2023-01-28,5265
2023-01-29,9926
2023-01-30,6243
2023-01-31,5118
2023-02-01,4850
2023-02-02,4919
2023-02-03,4523
2023-02-04,5392
2023-02-05,13634
2023-02-06,9470
2023-02-07,6853
2023-02-08,6289
2023-02-09,5534
2023-02-10,5252
2023-02-11,5571
2023-02-12,7937
2023-02-13,4931
2023-02-14,4305
2023-02-15,4274
2023-02-16,4292
2023-02-17,5579
2023-02-18,4949
2023-02-19,7390
2023-02-20,5151
2023-02-21,4368
2023-02-22,4275
2023-02-23,4272
2023-02-24,4514
2023-02-25,5074
2023-02-26,9434
2023-02-27,6105
2023-02-28,4884
2023-03-01,4578
2023-03-02,4281
2023-03-03,4415
2023-03-04,4960
2023-03-05,10877
2023-03-06,7031
2023-03-07,5283
2023-03-08,4888
2023-03-09,5045
2023-03-10,4994
2023-03-11,6057
2023-03-12,11612
2023-03-13,7038
2023-03-14,5449
2023-03-15,4857
2023-03-16,4878
2023-03-17,4601
2023-03-18,5571
2023-03-19,8013
2023-03-20,5406
2023-03-21,4590
2023-03-22,5139
2023-03-23,4628
2023-03-24,4508
2023-03-25,5242
2023-03-26,7769
2023-03-27,5813
2023-03-28,4368
2023-03-29,4449
2023-03-30,4136
2023-03-31,4288
2023-04-01,4507
2023-04-02,8968
2023-04-03,6093
2023-04-04,4835
2023-04-05,4656
2023-04-06,4550
2023-04-07,4566
2023-04-08,4775
2023-04-09,10146
2023-04-10,6681
2023-04-11,5073
2023-04-12,4959
2023-04-13,4912
2023-04-14,4672
2023-04-15,4643
2023-04-16,10585
2023-04-17,6693
2023-04-18,5028
2023-04-19,4802
2023-04-20,4392
2023-04-21,5880
2023-04-22,5439
2023-04-23,7817
2023-04-24,5282
2023-04-25,4624
2023-04-26,4392
2023-04-27,4283
2023-04-28,4452
2023-04-29,4966
2023-04-30,6771
2023-05-01,5317
2023-05-02,6582
2023-05-03,5809
2023-05-04,5159
2023-05-05,4864
2023-05-06,4646
2023-05-07,6102
2023-05-08,4757
2023-05-09,4133
2023-05-10,4020
2023-05-11,4015
2023-05-12,3640
2023-05-13,3972
2023-05-14,5362
2023-05-15,3950
2023-05-16,3741
2023-05-17,3718
2023-05-18,3669
2023-05-19,3515
2023-05-20,3822
2023-05-21,5247
2023-05-22,3815
2023-05-23,3869
2023-05-24,3742
2023-05-25,3556
2023-05-26,3728
2023-05-27,3806
2023-05-28,4380
2023-05-29,4002
2023-05-30,3702
2023-05-31,3641
2023-06-01,3604
2023-06-02,3524
2023-06-03,3756
2023-06-04,4401
2023-06-05,3725
2023-06-06,3816
2023-06-07,3553
2023-06-08,3974
2023-06-09,3525
2023-06-10,3683
2023-06-11,4633
2023-06-12,3551
2023-06-13,3436
2023-06-14,3361
2023-06-15,3206
2023-06-16,3341
2023-06-17,3761
2023-06-18,3885
2023-06-19,3738
2023-06-20,3239
2023-06-21,3634
2023-06-22,3132
2023-06-23,3235
2023-06-24,3320
2023-06-25,3982
2023-06-26,3500
2023-06-27,3618
2023-06-28,3264
2023-06-29,3377
2023-06-30,3131
2023-07-01,3388
2023-07-02,3788
2023-07-03,3558
2023-07-04,3520
2023-07-05,3416
2023-07-06,3463
2023-07-07,3230
2023-07-08,3449
2023-07-09,4040
2023-07-10,3585
2023-07-11,3355
2023-07-12,3425
2023-07-13,3458
2023-07-14,3544
2023-07-15,3606
2023-07-16,4220
2023-07-17,3664
2023-07-18,3369
2023-07-19,3401
2023-07-20,3076
2023-07-21,3416
2023-07-22,3466
2023-07-23,4182
2023-07-24,3687
2023-07-25,3858
2023-07-26,4491
2023-07-27,4478
2023-07-28,4204
2023-07-29,4185
2023-07-30,4359
2023-07-31,4144
2023-08-01,4246
2023-08-02,3687
2023-08-03,3460
2023-08-04,3503
2023-08-05,3709
2023-08-06,4138
2023-08-07,3602
2023-08-08,3547
2023-08-09,3594
2023-08-10,3717
2023-08-11,3465
2023-08-12,3515
2023-08-13,4099
2023-08-14,3456
2023-08-15,3338
2023-08-16,3375
2023-08-17,3252
2023-08-18,3320
2023-08-19,3468
2023-08-20,3987
2023-08-21,3918
2023-08-22,3484
2023-08-23,3332
2023-08-24,3288
2023-08-25,3284
2023-08-26,3565
2023-08-27,4133
2023-08-28,3482
2023-08-29,3501
2023-08-30,3455
2023-08-31,3349
2023-09-01,3203
2023-09-02,3469
2023-09-03,3911
2023-09-04,3625
2023-09-05,3528
2023-09-06,3431
2023-09-07,3412
2023-09-08,3498
2023-09-09,3549
2023-09-10,4195
2023-09-11,3285
2023-09-12,3302
2023-09-13,3235
2023-09-14,3275
2023-09-15,3190
2023-09-16,3434
2023-09-17,4190
2023-09-18,3623
2023-09-19,3219
2023-09-20,3204
2023-09-21,3067
2023-09-22,3362
2023-09-23,3766
2023-09-24,4576
2023-09-25,4622
2023-09-26,4110
2023-09-27,4010
2023-09-28,4101
2023-09-29,3735
2023-09-30,4230
2023-10-01,5266
2023-10-02,4391
2023-10-03,4168
2023-10-04,5086
2023-10-05,5555
2023-10-06,4333
2023-10-07,4482
2023-10-08,5421
2023-10-09,4326
2023-10-10,3925
2023-10-11,5302
2023-10-12,4788
2023-10-13,4469
2023-10-14,4816
2023-10-15,14645
2023-10-16,8324
2023-10-17,6205
2023-10-18,5476
2023-10-19,5034
2023-10-20,4699
2023-10-21,4856
2023-10-22,11346
2023-10-23,7457
2023-10-24,5730
2023-10-25,4705
2023-10-26,4671
2023-10-27,4407
2023-10-28,4681
2023-10-29,12453
2023-10-30,7963
2023-10-31,5534
2023-11-01,4865
2023-11-02,4741
2023-11-03,4641
